"","id","Experiment","Phytohormones","Insects","lfc_JA_phyto","lfc_SA_phyto","lfc_JA_insects","lfc_SA_insects","DA_JA_phyto","DA_SA_phyto","DA_phyto","DA_JA_insects","DA_SA_insects","DA_insects","Kingdom","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode"
"1","fASV_238","phytohormones","phytohormones",NA,1.56875632267699,1.00074611858432,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi",NA,NA,NA,NA,NA,NA,"-"
"2","fASV_52","phytohormones","phytohormones",NA,-0.176616689199388,0.61683624794351,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Basidiomycota","Agaricomycetes","Trechisporales",NA,NA,NA,"-"
"3","fASV_270","phytohormones","phytohormones",NA,2.60579949903491,2.49245901130222,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales","Lobulomycetales_fam_Incertae_sedis","Lobulomycetales_gen_Incertae_sedis","Lobulomycetales_sp","-"
"4","fASV_75","phytohormones","phytohormones",NA,-0.541265586522783,-0.592655297862712,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea","Pathotroph-Saprotroph"
"5","fASV_77","phytohormones","phytohormones",NA,-0.019924251607454,0.842728514762906,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Sonoraphlyctidaceae","Sonoraphlyctis","Sonoraphlyctis_sp","Saprotroph"
"6","fASV_985","phytohormones","phytohormones",NA,1.50607510907571,-0.256102118524179,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_herbarum","Pathotroph-Saprotroph-Symbiotroph"
"7","fASV_373","phytohormones","phytohormones",NA,2.0048129821352,0.444806242864055,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_basi-inflatum","Pathotroph-Saprotroph-Symbiotroph"
"8","fASV_1080","phytohormones","phytohormones",NA,0.0736366009267951,-0.58555261433916,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_festucosus","Pathotroph-Saprotroph-Symbiotroph"
"9","fASV_90","phytohormones","phytohormones",NA,-0.733135980091556,-0.660145308250482,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellales_fam_Incertae_sedis","Mortierellales_gen_Incertae_sedis","Mortierellales_sp","Saprotroph-Symbiotroph"
"10","fASV_57","phytohormones","phytohormones",NA,0.474673731802165,-1.29228459725608,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellales_fam_Incertae_sedis","Mortierellales_gen_Incertae_sedis","Mortierellales_sp","Saprotroph-Symbiotroph"
"11","fASV_80","phytohormones","phytohormones",NA,0.46452532636521,-0.0822708792355044,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae",NA,NA,"Saprotroph-Symbiotroph"
"12","fASV_194","phytohormones","phytohormones",NA,1.292241964755,1.25924512941882,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellales_fam_Incertae_sedis","Mortierellales_gen_Incertae_sedis","Mortierellales_sp","Saprotroph-Symbiotroph"
"13","fASV_1467","phytohormones","phytohormones",NA,0.0846310353748136,-0.509165533150475,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA,"Saprotroph-Symbiotroph"
"14","fASV_49","phytohormones","phytohormones",NA,2.74870650131952,0.843292275802096,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia","Oliveonia_sp","Saprotroph"
"15","fASV_513","phytohormones","phytohormones",NA,0.804679641957241,-0.757168772132209,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris","Pathotroph-Saprotroph"
"16","fASV_180","phytohormones","phytohormones",NA,1.79186815446727,0.0864543490184445,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium_infirmominiatum","Saprotroph"
"17","fASV_15","Both","phytohormones","insects",2.1140699519864,1.51051622937111,-1.25048320552319,-0.685699858767283,"YES","YES","JA_and_SA","YES","NO","JA_Only","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"-"
"18","fASV_240","phytohormones","phytohormones",NA,1.49724078103211,-0.795812403853807,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"-"
"19","fASV_195","phytohormones","phytohormones",NA,-0.0193044799505122,0.494544329834691,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Xenodidymella","Xenodidymella_camporesii","Saprotroph"
"20","fASV_187","phytohormones","phytohormones",NA,-0.462541163225811,-0.543371531699309,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_angustiovoidea","Pathotroph-Saprotroph-Symbiotroph"
"21","fASV_298","phytohormones","phytohormones",NA,-0.0368190973922742,0.0767113058284084,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_ledniceana","Pathotroph-Saprotroph"
"22","fASV_160","Both","phytohormones","insects",-1.50140899147155,-2.48640786053965,-0.680812861095654,-0.579732085964433,"YES","YES","JA_and_SA","YES","NO","JA_Only","Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Arcuadendron","Arcuadendron_triangulare","Pathotroph-Saprotroph"
"23","fASV_215","phytohormones","phytohormones",NA,2.34549684761711,0.654129729245272,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Pathotroph-Saprotroph-Symbiotroph"
"24","fASV_39","phytohormones","phytohormones",NA,2.88500249814022,2.08060990797976,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Pathotroph-Saprotroph-Symbiotroph"
"25","fASV_532","phytohormones","phytohormones",NA,1.44036650193823,0.973801154551807,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"Pathotroph-Saprotroph"
"26","fASV_854","phytohormones","phytohormones",NA,1.07145321808655,1.25677586815978,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"Pathotroph-Saprotroph"
"27","fASV_125","phytohormones","phytohormones",NA,-0.241202300035499,-1.74904866408996,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Hypocreales_gen_Incertae_sedis","Hypocreales_sp","Saprotroph"
"28","fASV_97","phytohormones","phytohormones",NA,-1.05981152397211,-2.61156135474609,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus","Hymenoscyphus_menthae","Pathotroph-Saprotroph-Symbiotroph"
"29","fASV_456","phytohormones","phytohormones",NA,1.5039131713915,1.50708115273846,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leptodophora","Leptodophora_orchidicola","-"
"30","fASV_285","phytohormones","phytohormones",NA,-0.623890138481501,-2.29003991549068,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA,"Saprotroph"
"31","fASV_961","phytohormones","phytohormones",NA,1.79843753150575,0.801993979208118,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Sporidesmiella","Sporidesmiella_obovoidia","Saprotroph"
"32","fASV_446","phytohormones","phytohormones",NA,1.34335768164157,0.947249104486914,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA,"-"
"33","fASV_136","phytohormones","phytohormones",NA,0.201913971384789,-0.294804705424677,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum",NA,"Pathotroph-Saprotroph-Symbiotroph"
"34","fASV_128","phytohormones","phytohormones",NA,1.53025657262466,1.45113797425453,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum","Cladorrhinum_sp","Pathotroph-Saprotroph-Symbiotroph"
"35","fASV_653","phytohormones","phytohormones",NA,0.0991852563828988,-1.49067096605845,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"-"
"36","fASV_545","phytohormones","phytohormones",NA,-0.0667641837051562,-1.43162876661928,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Branch06","Branch06_fam_Incertae_sedis","Branch06_gen_Incertae_sedis","Branch06_sp","-"
"37","fASV_515","phytohormones","phytohormones",NA,0.427044717155569,1.27590510073574,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum","Pathotroph"
"38","fASV_490","phytohormones","phytohormones",NA,-0.391398180364501,-0.229145044399086,NA,NA,"YES","NO","JA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Keithomyces","Keithomyces_carneus","Pathotroph-Symbiotroph"
"39","fASV_333","phytohormones","phytohormones",NA,1.81426126986738,-0.537752487048273,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae",NA,NA,"Pathotroph-Symbiotroph"
"40","fASV_170","phytohormones","phytohormones",NA,2.48814293120466,1.35874288013247,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metapochonia","Metapochonia_rubescens","Pathotroph-Saprotroph"
"41","fASV_166","Both","phytohormones","insects",0.812081728780477,-1.57951617176798,-0.891687888538061,-0.479889651997782,"NO","YES","SA_Only","YES","NO","JA_Only","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps_chlamydosporia","Pathotroph-Saprotroph"
"42","fASV_135","phytohormones","phytohormones",NA,2.2562618057166,1.6680020471046,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_nurragi","Pathotroph-Saprotroph-Symbiotroph"
"43","fASV_228","phytohormones","phytohormones",NA,1.43847412752328,-0.899508109075352,NA,NA,"NO","YES","SA_Only",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Pathotroph-Saprotroph-Symbiotroph"
"44","fASV_139","phytohormones","phytohormones",NA,1.44624065181229,3.29660444453404,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sporotrichioides","Pathotroph-Saprotroph-Symbiotroph"
"45","fASV_137","phytohormones","phytohormones",NA,2.77832922275305,0.868377794404351,NA,NA,"YES","YES","JA_and_SA",NA,NA,NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Pathotroph-Saprotroph-Symbiotroph"
"46","fASV_22","insects",NA,"insects",NA,NA,1.82914355857703,1.37676739385702,NA,NA,NA,"YES","YES","JA_and_SA","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA,"Saprotroph-Symbiotroph"
"47","fASV_821","insects",NA,"insects",NA,NA,0.358855475674941,0.69169160245051,NA,NA,NA,"YES","YES","JA_and_SA","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellales_fam_Incertae_sedis","Mortierellales_gen_Incertae_sedis","Mortierellales_sp","Saprotroph-Symbiotroph"
"48","fASV_221","insects",NA,"insects",NA,NA,0.591356537923803,0.583032262363905,NA,NA,NA,"YES","YES","JA_and_SA","Fungi",NA,NA,NA,NA,NA,NA,"-"
"49","fASV_162","insects",NA,"insects",NA,NA,1.80279304573746,0.205890291708894,NA,NA,NA,"YES","YES","JA_and_SA","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"-"
"50","fASV_87","insects",NA,"insects",NA,NA,-0.147241764088646,0.646664905840124,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,"Pathotroph-Saprotroph-Symbiotroph"
"51","fASV_349","insects",NA,"insects",NA,NA,-0.471734596997675,0.0654790770150422,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,"Pathotroph-Saprotroph-Symbiotroph"
"52","fASV_1718","insects",NA,"insects",NA,NA,-0.617054069018991,-0.736784211173887,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota",NA,NA,NA,NA,NA,"-"
"53","fASV_172","insects",NA,"insects",NA,NA,-0.423259474991507,-1.11376920225837,NA,NA,NA,"NO","YES","SA_Only","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA,"-"
"54","fASV_1328","insects",NA,"insects",NA,NA,-0.419901845331508,-0.0499840505430915,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordycipitaceae_gen_Incertae_sedis","Ophiocordycipitaceae_sp","Pathotroph-Symbiotroph"
"55","fASV_401","insects",NA,"insects",NA,NA,0.114606200318305,-0.961068590553388,NA,NA,NA,"NO","YES","SA_Only","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum","Pathotroph"
"56","fASV_186","insects",NA,"insects",NA,NA,-0.629970080094316,-0.188781462711956,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_sclerotigenum","Pathotroph-Saprotroph-Symbiotroph"
"57","fASV_252","insects",NA,"insects",NA,NA,2.06523019610777,0.364505164011512,NA,NA,NA,"YES","YES","JA_and_SA","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_rubicola","Saprotroph"
"58","fASV_189","insects",NA,"insects",NA,NA,-0.104668577244069,1.2428588406981,NA,NA,NA,"YES","NO","JA_Only","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Pathotroph-Saprotroph-Symbiotroph"
