"ID","Block","Phase","Experiment","plant_pathway_induced","Stress","soil_inocula","herbivory","Leaf_area","shoot_biomass_mg"
"1",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2078
"2",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2005
"3",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"4",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2074
"5",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1774
"6",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1653
"7",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1486
"8",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"9",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1869
"10",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"11",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2048
"12",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2005
"13",NA,"conditioning","simulated","Control","Control",NA,NA,NA,NA
"14",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1990
"15",NA,"conditioning","simulated","Control","Control",NA,NA,NA,2096
"16",NA,"conditioning","simulated","Control","Control",NA,NA,NA,1802
"17",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1243
"18",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1617
"19",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"20",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1327
"21",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1481
"22",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1266
"23",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1624
"24",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"25",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1731
"26",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"27",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1689
"28",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1676
"29",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,NA
"30",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1263
"31",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1543
"32",NA,"conditioning","simulated","JA","MeJA",NA,NA,NA,1599
"33",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1621
"34",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1942
"35",NA,"conditioning","simulated","SA","SA",NA,NA,NA,NA
"36",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1697
"37",NA,"conditioning","simulated","SA","SA",NA,NA,NA,2027
"38",NA,"conditioning","simulated","SA","SA",NA,NA,NA,2271
"39",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1756
"40",NA,"conditioning","simulated","SA","SA",NA,NA,NA,NA
"41",NA,"conditioning","simulated","SA","SA",NA,NA,NA,2063
"42",NA,"conditioning","simulated","SA","SA",NA,NA,NA,NA
"43",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1979
"44",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1520
"45",NA,"conditioning","simulated","SA","SA",NA,NA,NA,NA
"46",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1895
"47",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1909
"48",NA,"conditioning","simulated","SA","SA",NA,NA,NA,1797
"85",NA,"conditioning","real_insects","JA","Chewer",NA,NA,168.31,913
"86",NA,"conditioning","real_insects","Control","Control",NA,NA,283.31,1163
"87",NA,"conditioning","real_insects","SA","Aphid",NA,NA,223.93,871
"88",NA,"conditioning","real_insects","Control","Control",NA,NA,NA,NA
"89",NA,"conditioning","real_insects","SA","Aphid",NA,NA,NA,NA
"90",NA,"conditioning","real_insects","JA","Chewer",NA,NA,NA,NA
"91",NA,"conditioning","real_insects","JA","Chewer",NA,NA,159.82,891
"92",NA,"conditioning","real_insects","Control","Control",NA,NA,311.92,1430
"93",NA,"conditioning","real_insects","SA","Aphid",NA,NA,300.35,1364
"94",NA,"conditioning","real_insects","SA","Aphid",NA,NA,223.51,930
"95",NA,"conditioning","real_insects","JA","Chewer",NA,NA,217.74,1288
"96",NA,"conditioning","real_insects","Control","Control",NA,NA,295.37,1655
"97",NA,"conditioning","real_insects","JA","Chewer",NA,NA,180.96,1012
"98",NA,"conditioning","real_insects","SA","Aphid",NA,NA,280.72,1304
"99",NA,"conditioning","real_insects","Control","Control",NA,NA,266.34,1671
"100",NA,"conditioning","real_insects","JA","Chewer",NA,NA,NA,NA
"101",NA,"conditioning","real_insects","SA","Aphid",NA,NA,NA,NA
"102",NA,"conditioning","real_insects","Control","Control",NA,NA,NA,NA
"103",NA,"conditioning","real_insects","JA","Chewer",NA,NA,225.85,1223
"104",NA,"conditioning","real_insects","SA","Aphid",NA,NA,324.6,1564
"105",NA,"conditioning","real_insects","Control","Control",NA,NA,326.95,1740
"106",NA,"conditioning","real_insects","JA","Chewer",NA,NA,214.11,1216
"107",NA,"conditioning","real_insects","Control","Control",NA,NA,320.24,1801
"108",NA,"conditioning","real_insects","SA","Aphid",NA,NA,276.57,1325
"109",NA,"conditioning","real_insects","SA","Aphid",NA,NA,NA,NA
"110",NA,"conditioning","real_insects","Control","Control",NA,NA,NA,NA
"111",NA,"conditioning","real_insects","JA","Chewer",NA,NA,NA,NA
"112",NA,"conditioning","real_insects","Control","Control",NA,NA,274.95,1501
"113",NA,"conditioning","real_insects","JA","Chewer",NA,NA,186.31,1306
"114",NA,"conditioning","real_insects","SA","Aphid",NA,NA,238.8,1423
"115",NA,"conditioning","real_insects","SA","Aphid",NA,NA,205.05,994
"116",NA,"conditioning","real_insects","JA","Chewer",NA,NA,145.51,868
"117",NA,"conditioning","real_insects","Control","Control",NA,NA,258.85,1480
"118",NA,"conditioning","real_insects","SA","Aphid",NA,NA,169.38,863
"119",NA,"conditioning","real_insects","Control","Control",NA,NA,225.04,1206
"120",NA,"conditioning","real_insects","JA","Chewer",NA,NA,150.65,974
"121",NA,"conditioning","real_insects","Control","Control",NA,NA,NA,NA
"122",NA,"conditioning","real_insects","SA","Aphid",NA,NA,NA,NA
"123",NA,"conditioning","real_insects","JA","Chewer",NA,NA,NA,NA
"124",NA,"conditioning","real_insects","JA","Chewer",NA,NA,167.39,1094
"125",NA,"conditioning","real_insects","SA","Aphid",NA,NA,200.16,1014
"126",NA,"conditioning","real_insects","Control","Control",NA,NA,217.32,1354
"127",NA,"conditioning","real_insects","Control","Control",NA,NA,248.26,1405
"128",NA,"conditioning","real_insects","JA","Chewer",NA,NA,139.11,931
"129",NA,"conditioning","real_insects","SA","Aphid",NA,NA,250.56,1335
"130",NA,"conditioning","real_insects","SA","Aphid",NA,NA,NA,NA
"131",NA,"conditioning","real_insects","JA","Chewer",NA,NA,NA,NA
"132",NA,"conditioning","real_insects","Control","Control",NA,NA,NA,NA
"133",NA,"conditioning","real_insects","JA","Chewer",NA,NA,158.35,827
"134",NA,"conditioning","real_insects","SA","Aphid",NA,NA,215.45,995
"135",NA,"conditioning","real_insects","Control","Control",NA,NA,293.34,1567
"210","5","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,NA
"201","6","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,315.1
"156","1","feedback","simulated",NA,NA,"control-conditioned","Without",NA,488.1
"157","2","feedback","simulated",NA,NA,"control-conditioned","Without",NA,515.2
"214","9","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,525.7
"197","2","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,670
"176","1","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,683.9
"242","7","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,708.6
"238","3","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,712.7
"196","1","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,725.2
"251","6","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,762.4
"241","6","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,770.6
"150","5","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,776.7
"178","3","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,805.6
"206","1","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,811
"141","6","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,824.9
"236","1","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,862.9
"246","1","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,909.7
"250","5","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,910.6
"151","6","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,924.6
"161","6","feedback","simulated",NA,NA,"control-conditioned","Without",NA,924.8
"180","5","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,925.1
"245","10","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,935.1
"216","1","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,943.4
"237","2","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,961.6
"186","1","feedback","simulated",NA,NA,"non-conditioned","Without",NA,975.6
"203","8","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,986.4
"166","1","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,999
"185","10","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1010.8
"147","2","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1018.1
"149","4","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1034.3
"148","3","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1042.6
"213","8","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,1050.9
"174","9","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1054.8
"244","9","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,1056.8
"144","9","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1070.2
"153","8","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1070.7
"171","6","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1082.8
"155","10","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1101.8
"240","5","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,1104.9
"160","5","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1113.3
"204","9","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1114.9
"205","10","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1129.8
"234","9","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1141.3
"235","10","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1141.9
"225","10","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1144.3
"212","7","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,1161.5
"230","5","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1161.5
"154","9","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1173.3
"177","2","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1188.8
"243","8","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,1193.8
"211","6","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,1195.3
"165","10","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1200
"145","10","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1201.1
"143","8","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1205.3
"163","8","feedback","simulated",NA,NA,"control-conditioned","Without",NA,NA
"231","6","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1232.3
"232","7","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1234.1
"183","8","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1240
"207","2","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,1242.7
"252","7","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1250.2
"175","10","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1251.2
"162","7","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1258.2
"247","2","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1262.2
"199","4","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1268.3
"253","8","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1273.5
"221","6","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1267.8
"164","9","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1283.3
"255","10","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1283.6
"152","7","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,1297.4
"184","9","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1306.2
"200","5","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1316.6
"254","9","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1324.6
"233","8","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1332.9
"189","4","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1333.6
"227","2","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1338.1
"224","9","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1482.7
"138","3","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1347.1
"226","1","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1359.9
"169","4","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1368.4
"140","5","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,410.9
"137","2","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1389.3
"195","10","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1391.2
"142","7","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1391.8
"202","7","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1394.7
"229","4","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1412.1
"190","5","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1415.8
"239","4","feedback","simulated",NA,NA,"SA-conditioned","Chewer",NA,1416.5
"173","8","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1417.1
"192","7","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1451.4
"170","5","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1462.6
"209","4","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,1468.2
"217","2","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1487.4
"228","3","feedback","simulated",NA,NA,"SA-conditioned","Aphid",NA,1493.4
"193","8","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1500.2
"191","6","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1504.6
"219","4","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1508.9
"220","5","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,NA
"249","4","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1535.4
"179","4","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1541
"172","7","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1583.2
"218","3","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1627.8
"158","3","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1633.5
"198","3","feedback","simulated",NA,NA,"JA-conditioned","Aphid",NA,1637.1
"159","4","feedback","simulated",NA,NA,"control-conditioned","Without",NA,1788.8
"139","4","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1677.6
"181","6","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,1682.3
"167","2","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1762.7
"136","1","feedback","simulated",NA,NA,"control-conditioned","Aphid",NA,1763.3
"248","3","feedback","simulated",NA,NA,"SA-conditioned","Without",NA,1778.8
"168","3","feedback","simulated",NA,NA,"non-conditioned","Aphid",NA,1805.3
"222","7","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,1826
"187","2","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1831.8
"194","9","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1841.6
"188","3","feedback","simulated",NA,NA,"non-conditioned","Without",NA,1880
"146","1","feedback","simulated",NA,NA,"control-conditioned","Chewer",NA,NA
"182","7","feedback","simulated",NA,NA,"non-conditioned","Chewer",NA,NA
"208","3","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,NA
"215","10","feedback","simulated",NA,NA,"JA-conditioned","Chewer",NA,NA
"223","8","feedback","simulated",NA,NA,"JA-conditioned","Without",NA,NA
"256","1","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,951.21
"257","2","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,931.11
"258","3","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,1137.61
"259","4","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,1362.71
"260","5","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,1098.01
"261","6","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,965.91
"262","7","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,926.31
"263","8","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,907.51
"264","9","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,865.51
"265","10","feedback","real_insects",NA,NA,"control-conditioned","Aphid",NA,1088.41
"266","1","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,900.41
"267","2","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,953.81
"268","3","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,1396.71
"269","4","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,1087.11
"270","5","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,1063.11
"271","6","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,862.41
"272","7","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,970.01
"273","8","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,892.11
"274","9","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,1050.71
"275","10","feedback","real_insects",NA,NA,"control-conditioned","Chewer",NA,870.51
"276","1","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,934.01
"277","2","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1336.91
"278","3","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1065.71
"279","4","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1059.11
"280","5","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,965.21
"281","6","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,944.81
"282","7","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1117.91
"283","8","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1057.11
"284","9","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,1067.91
"285","10","feedback","real_insects",NA,NA,"control-conditioned","Without",NA,789.11
"286","1","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1103.21
"287","2","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1422.51
"288","3","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1170.61
"289","4","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1236.91
"290","5","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1196.61
"291","6","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,900.91
"292","7","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1246.81
"293","8","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1250.51
"294","9","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1290.61
"295","10","feedback","real_insects",NA,NA,"non-conditioned","Aphid",NA,1060.81
"296","1","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1047.71
"297","2","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1181.41
"298","3","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1252.11
"299","4","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1168.21
"300","5","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1214.31
"301","6","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1119.51
"302","7","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1358.21
"303","8","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1022.31
"304","9","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1044.71
"305","10","feedback","real_insects",NA,NA,"non-conditioned","Chewer",NA,1128.71
"306","1","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1032.81
"307","2","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1233.71
"308","3","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1386.51
"309","4","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1206.61
"310","5","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1284.21
"311","6","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,764.31
"312","7","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1449.41
"313","8","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1307.41
"314","9","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1160.71
"315","10","feedback","real_insects",NA,NA,"non-conditioned","Without",NA,1023.51
"316","1","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1049.81
"317","2","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,951.21
"318","3","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1127.11
"319","4","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1076.51
"320","5","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1144.11
"321","6","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,669.61
"322","7","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1054.01
"323","8","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,1152.11
"324","9","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,926.81
"325","10","feedback","real_insects",NA,NA,"JA-conditioned","Aphid",NA,763.61
"326","1","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1140.51
"327","2","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,983.31
"328","3","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1173.11
"329","4","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1176.01
"330","5","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1328.01
"331","6","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1045.41
"332","7","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1166.31
"333","8","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1105.81
"334","9","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,947.21
"335","10","feedback","real_insects",NA,NA,"JA-conditioned","Chewer",NA,1029.01
"336","1","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,941.51
"337","2","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1452.51
"338","3","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1584.31
"339","4","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1085.81
"340","5","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1149.21
"341","6","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,834.81
"342","7","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1278.01
"343","8","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1358.81
"344","9","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1048.21
"345","10","feedback","real_insects",NA,NA,"JA-conditioned","Without",NA,1083.81
"346","1","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1152.41
"347","2","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1106.51
"348","3","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1202.71
"349","4","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1190.11
"350","5","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,926.61
"351","6","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1075.21
"352","7","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,1024.91
"353","8","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,864.81
"354","9","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,917.01
"355","10","feedback","real_insects",NA,NA,"SA-conditioned","Aphid",NA,797.41
"356","1","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,1069.51
"357","2","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,1373.41
"358","3","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,1613.21
"359","4","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,1221.71
"360","5","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,994.71
"361","6","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,797.51
"362","7","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,877.41
"363","8","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,800.21
"364","9","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,800.91
"365","10","feedback","real_insects",NA,NA,"SA-conditioned","Chewer",NA,876.81
"366","1","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1091.11
"367","2","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,2096.31
"368","3","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1271.21
"369","4","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1536.61
"370","5","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1120.91
"371","6","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,736.21
"372","7","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1186.71
"373","8","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1006.71
"374","9","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,1082.81
"375","10","feedback","real_insects",NA,NA,"SA-conditioned","Without",NA,937.31
